Date,AAPL,GOOGL,JNJ,JPM,MA,MSFT,TSLA,V,WMT,XOM
2019-01-02,37.469200134277344,52.270511627197266,103.79098510742188,80.4739761352539,181.548095703125,94.193115234375,20.674667358398438,126.06807708740234,27.913776397705078,49.66474914550781
2019-01-03,33.737003326416016,50.822845458984375,102.1417007446289,79.33029174804688,173.35769653320312,90.72795104980469,20.02400016784668,121.52501678466797,27.77022933959961,48.90220642089844
2019-01-04,35.17720031738281,53.42972946166992,103.85599517822266,82.25482177734375,181.5672607421875,94.9476547241211,21.179332733154297,126.76045227050781,27.943679809570312,50.70520782470703
2019-01-07,35.098907470703125,53.323177337646484,103.18976593017578,82.31204223632812,182.96417236328125,95.06874084472656,22.33066749572754,129.04620361328125,28.272642135620117,50.968894958496094
2019-01-08,35.768001556396484,53.79151916503906,105.58650207519531,82.15681457519531,184.29647827148438,95.7580795288086,22.356666564941406,129.7480926513672,28.47001838684082,51.339473724365234
2019-01-09,36.375404357910156,53.607154846191406,104.74966430664062,82.01795959472656,187.6416015625,97.12734985351562,22.568666458129883,131.27511596679688,28.377309799194336,51.61027526855469
2019-01-10,36.491661071777344,53.46739196777344,105.38338470458984,82.00978088378906,188.77259826660156,96.50324249267578,22.99799919128418,131.5216827392578,28.39824867248535,51.34661102294922
2019-01-11,36.13338851928711,52.75570297241211,105.41590881347656,81.61766052246094,187.76612854003906,95.7580795288086,23.150667190551758,130.943115234375,28.36235809326172,51.11142349243164
2019-01-14,35.590057373046875,52.1134033203125,104.2215576171875,82.45907592773438,187.3157501220703,95.05943298339844,22.293333053588867,130.03260803222656,28.395254135131836,51.04728698730469
2019-01-15,36.3184700012207,53.848018646240234,105.09905242919922,83.06359100341797,188.36045837402344,97.816650390625,22.961999893188477,130.26023864746094,28.78402328491211,51.07579040527344
2019-01-16,36.76215362548828,53.996700286865234,104.0265884399414,83.73346710205078,189.55857849121094,98.16130828857422,23.06999969482422,130.26023864746094,28.81393051147461,51.054412841796875
2019-01-17,36.980430603027344,54.47298049926758,104.8796615600586,84.07657623291016,191.03460693359375,98.85062408447266,23.15399932861328,130.20335388183594,28.930564880371094,51.40360641479492
2019-01-18,37.20820236206055,54.878379821777344,106.17959594726562,85.44078826904297,193.61289978027344,100.3316879272461,20.150667190551758,131.3604736328125,29.226627349853516,52.0164909362793
2019-01-22,36.37303161621094,53.45747756958008,104.6440658569336,84.09291076660156,191.1783905029297,98.44078063964844,19.92799949645996,130.9336395263672,29.154850006103516,51.23258590698242
2019-01-23,36.52014923095703,53.74394607543945,104.6440658569336,83.88050842285156,190.11447143554688,99.40021514892578,19.172666549682617,129.94723510742188,29.519699096679688,50.812110900878906
2019-01-24,36.23067092895508,53.72362518310547,103.20600128173828,83.92950439453125,191.49472045898438,98.92514038085938,19.43400001525879,130.6016845703125,29.41502571105957,50.88337707519531
2019-01-25,37.43124008178711,54.59142303466797,104.18097686767578,84.46052551269531,194.5138702392578,99.82870483398438,19.80266761779785,131.5216827392578,28.990371704101562,51.11142349243164
2019-01-28,37.084835052490234,53.51844024658203,104.79840850830078,84.86076354980469,191.8493194580078,97.88188934326172,19.7586669921875,128.97987365722656,29.02625846862793,50.76935577392578
2019-01-29,36.70045471191406,53.032745361328125,105.88711547851562,85.09770202636719,190.96751403808594,95.88846588134766,19.83066749572754,128.0408477783203,28.92159080505371,50.961769104003906
2019-01-30,39.2083625793457,54.4169807434082,106.95143127441406,85.29377746582031,195.5490264892578,99.09280395507812,20.584667205810547,130.50682067871094,28.350393295288086,51.517642974853516
2019-01-31,39.49072265625,55.79970932006836,108.12136840820312,84.55036163330078,202.36386108398438,97.2763900756836,20.468000411987305,128.05035400390625,28.658424377441406,52.22317886352539
2019-02-01,39.509708404541016,55.43940353393555,109.03131866455078,84.86076354980469,204.8942413330078,95.73942565917969,20.81399917602539,132.92543029785156,28.069284439086914,54.10456085205078
