Date,AAPL_return_centered,AAPL_momentum_leaky,AAPL_volatility_leaky,GOOGL_return_centered,GOOGL_momentum_leaky,GOOGL_volatility_leaky,JNJ_return_centered,JNJ_momentum_leaky,JNJ_volatility_leaky,JPM_return_centered,JPM_momentum_leaky,JPM_volatility_leaky,MA_return_centered,MA_momentum_leaky,MA_volatility_leaky,MSFT_return_centered,MSFT_momentum_leaky,MSFT_volatility_leaky,TSLA_return_centered,TSLA_momentum_leaky,TSLA_volatility_leaky,V_return_centered,V_momentum_leaky,V_volatility_leaky,WMT_return_centered,WMT_momentum_leaky,WMT_volatility_leaky,XOM_return_centered,XOM_momentum_leaky,XOM_volatility_leaky,target
2019-01-03,-5.200425334636432,-0.09960705845031004,-5.1258239301423405,-1.462003438706627,-0.027695657133374074,-1.4085831845297174,-1.3384644853889083,-0.01589043943542867,-1.3169639140108116,-0.7816272566621749,-0.014211853845581324,-0.7357835910259741,-2.465702204279174,-0.045114211406079185,-2.418983297276246,-2.076862127350799,-0.03678787112994586,-2.013453109619534,-0.8440893235041272,-0.03147171266518334,-0.7747527473624555,-2.2021910459066727,-0.03603656379707221,-2.157890562650018,-0.44492514786958165,-0.005142516586085222,-0.38099659848475725,-0.7888527552484874,-0.015353801996971228,-0.7556386451179403,1
2019-01-04,2.1221907284304375,-0.02845905803676224,2.1967921329245295,2.5553363160960583,0.011798944839471248,2.608756570272968,1.3694775456721622,0.0004465263619782833,1.3909781170502589,1.8627628377369772,0.011326691720445758,1.908606503373178,2.492478556149671,0.0011210013933246055,2.5391974631525986,2.482118020498449,0.004860770539874659,2.545527038229714,1.351025022870527,0.013112839123443631,1.4203615990121987,2.535423049282907,0.0035222849096815945,2.5797235325395618,0.39881610637915965,0.000551698810580703,0.46274465576398405,1.7813229194736557,0.010757864380915305,1.8145370296042027,1
2019-01-07,-0.18913539214937442,-0.019714595426534642,-0.11453398765528289,-0.15484640911447806,0.007201213937251001,-0.10142615493756842,-0.5531558016989816,-0.0018406267501123914,-0.5316552303208849,-0.009828174870322882,0.007783010710170697,0.036015490765877914,0.3658066772859805,0.0033118781404897954,0.4125255842889082,0.006389626514579932,0.003665611504450069,0.06979864424584495,1.2688975229703057,0.02686230565462074,1.3382340991119774,1.0354694901424877,0.008358874665271965,1.079769973399142,0.8082551480871156,0.00429191047051436,0.87218369747194,0.22272378710264912,0.008905374748624517,0.2559378972331961,1
2019-01-08,0.9063944273226407,-0.010020170838477921,0.9809958318167323,0.3932815967969823,0.0075966808982504685,0.446701850973892,1.903458792131011,0.004426152627696134,1.9249593635091078,-0.14347856939300357,0.005365797062533456,-0.09763490375680277,0.3437238741605736,0.004304355049873754,0.39044278116350134,0.33344590556503917,0.004561946122168203,0.3968549232963042,-0.04067508094432778,0.020437798341551572,0.028661495197343956,0.2813931507224634,0.007628919049770505,0.32569363397911777,0.45328976822836053,0.0049642265034925415,0.5172183176131849,0.32461324451774753,0.008496702241954535,0.3578273546482945,1
2019-01-09,0.7992864114271652,-0.004619789236856131,0.8738878159212566,-0.22773490446713135,0.0053918674474268125,-0.1743146502902217,-0.6783575795154181,0.00195579947358695,-0.6568570081373214,-0.13334551563478766,0.003954613394371953,-0.08750184999858687,0.9265090861167351,0.007073638367740198,0.9732279931196628,0.7192104234594928,0.006509410252030579,0.7826194411907579,0.16410130895191932,0.018246763743941408,0.23343788509359106,0.6604424482906279,0.008456963005952134,0.7047429315472823,-0.3051842669449312,0.003320109493820822,-0.24125571756010683,0.22638186161368468,0.007852306554561173,0.25959597174423166,1
2019-01-10,0.08986749353292885,-0.003317153475024759,0.1644688980270204,-0.1860191488279943,0.0040586948115083525,-0.13259889465108465,0.4798979098181025,0.002638142248427844,0.5013984811961991,-0.05100634631346091,0.0032788914058120198,-0.0051626806772601215,0.27646647393437745,0.00689927038247784,0.32318538093730514,-0.4150946525717923,0.004353565151716976,-0.35168563484052723,0.3989706406687298,0.018376202851545915,0.46830721681040155,0.06816990192594026,0.0073605099316685725,0.11247038518259464,-0.009261267026811838,0.00288973687745403,0.054667282358012555,-0.28464190736747347,0.005692129648900775,-0.25142779723692643,0
2019-01-11,-0.5798364581332894,-0.004245835751582423,-0.505235053639198,-0.7303943881660148,0.0015773511429743672,-0.6769741339891051,0.004077702362377593,0.0023053542893921746,0.025578273740474305,-0.29338806690222297,0.0021274233040164165,-0.24754440126602215,-0.3325972539331812,0.005151995812812116,-0.28587834693025344,-0.4860252940685057,0.002628536338011665,-0.42261627633724064,0.09408173097585143,0.016699361955171316,0.16341830711752317,-0.3077168309837596,0.005680576006703845,-0.26341634772710526,-0.1575627067916794,0.00229637007702721,-0.09363415740685502,-0.25863841152455985,0.004224626767200955,-0.22542430139401287,0
2019-01-14,-0.8484027492034757,-0.005594708392018227,-0.7738013447093841,-0.6726318744503316,-0.00014169030563677965,-0.6192116202734219,-0.9604968245227917,0.000600948106752236,-0.938996253144695,0.4878913342494309,0.003150149402730798,0.5337349998856317,-0.17533041145985975,0.004208169617281973,-0.12861150445693204,-0.4627270772062881,0.0013879750430977333,-0.399318059475023,-0.9809891289111285,0.009982841122084363,-0.9116525527694568,-0.4606775096623555,0.004101321994541024,-0.4163770264057011,0.02200182560833486,0.0021543048947917226,0.08593037499315925,-0.09497101749736706,0.0035396937967753367,-0.06175690736682004,1
2019-01-15,0.9786264775116986,-0.0026989913503828117,1.05322788200579,1.6394534869499668,0.003572430521856925,1.6928737411268766,0.6762897890747532,0.0014696775955974752,0.6977903604528499,0.33370549738070665,0.003614698585355705,0.37954916301690744,0.2523286291520865,0.004360290540425502,0.2990475361550142,1.5240870409745502,0.004456555058125551,1.5874960587058151,0.6690393515014331,0.01220630624988512,0.7383759276431049,0.06052441312877332,0.0038401268436379058,0.10482489638542769,0.9504298555764868,0.003436197962200022,1.0143584049613112,-0.005733744883677383,0.003208435911294728,0.027480365246869635,1
2019-01-16,0.5540638014796634,-0.0012074448710245101,0.628665205973755,0.08700927577901103,0.0034913009541835847,0.14042952995592067,-0.8672113890263248,0.00030227819134683866,-0.8457108176482281,0.37168196956379373,0.004059690487671819,0.4175256351999945,0.2943405693963214,0.004560339847802297,0.34105947639924916,0.12943772667234038,0.0043632505033758704,0.19284674440360539,0.04644940888793982,0.011456017067881175,0.11578598502961156,-0.044300483256654366,0.0034561141592741153,0.0,0.013050056336817542,0.0031964803420812316,0.07697860572164193,-0.053812882271053554,0.0028457377285731724,-0.020598772140506535,1
2019-01-17,0.2309473764158238,-0.0005579002480460686,0.30554878090991533,0.3951868460365379,0.003975777496503049,0.4486071002134476,0.6581408969152402,0.0010203010488011512,0.6796414682933369,0.16630122045037643,0.004063139929503417,0.21214488608657722,0.370794842599584,0.004853641795681999,0.41751374960251175,0.32093024801777187,0.00460498009080608,0.38433926574903693,0.02029737715669991,0.010745567925524753,0.08963395329837165,-0.0704503901157676,0.0031022218796414366,-0.026149906859113243,0.2359665966470878,0.003273877269075818,0.2998951460319122,0.3033991196769465,0.00320881934147513,0.3366132298074935,0
2019-01-18,0.24235642291822707,1.8623669119273896e-06,0.3169578274123186,0.32508569123575815,0.004264646814133327,0.3785059454126678,1.005730441853194,0.0019681536803909474,1.0272310132312907,0.794208439612849,0.005076697240313464,0.8400521052490498,0.6769496344829977,0.005573877481660393,0.7236685414859254,0.7566237894457497,0.005469802389098666,0.8200328071770147,-3.262492268990959,-0.000959159497006525,-3.1931556928492872,0.48785945623188604,0.003584288351885299,0.5321599394885405,0.6942506074915704,0.0038538502479755674,0.7581791568763948,0.5535766797855717,0.0039349999641996964,0.5867907899161188,0
2019-01-22,-1.2296763252455534,-0.001724886840462168,-1.155074920751462,-1.3702624883098515,0.0019449170278122985,-1.3168422341329418,-1.2200480169509107,0.000704324122907056,-1.1985474455728142,-0.8625850158632592,0.003472676353630099,-0.8167413502270583,-0.7209311640722029,0.004177878691697543,-0.6742122570692752,-1.0949084196580368,0.003599312889315689,-1.0314994019267718,-0.34136264716259435,-0.0017353887685396337,-0.2720260710209226,-0.23887253199979042,0.0030586250628864384,-0.19457204874313605,-0.24587939466093664,0.0033684857137728295,-0.18195084527611227,-0.7749010379852944,0.0024730524733845506,-0.7416869278547473,0
2019-01-23,0.1335401262723176,-0.0013127742531888911,0.20814153076640912,0.21912539027181102,0.002188766579920414,0.27254564444872065,-0.02150057137809671,0.0006540152569851235,0.0,-0.17661100425576168,0.0030442133579484188,-0.13076733861956089,-0.3451123603183108,0.0034819545541577212,-0.29839345331538303,0.4700206298680215,0.004038384216372014,0.5334296475992866,-1.0024135505587348,-0.0043187966744423645,-0.933076974417063,-0.49541812568578697,0.002302036056974504,-0.4511176424291326,0.863216863341382,0.004021749713189725,0.9271454127262064,-0.43713111155266426,0.001710178792626376,-0.40391700142211723,0
2019-01-24,-0.482504538753658,-0.0017536917475131715,-0.4079031342595665,-0.07265046517959,0.002017641761280927,-0.019230211002680346,-1.1604429436243409,-0.0003057482858919602,-1.1389423722462442,-0.015602488890161385,0.0028802068869874463,0.030241176746039412,0.34256080599977146,0.003733830548793149,0.3892797130026992,-0.32499321506233014,0.0034505310098743433,-0.26158419733106514,0.26621188859480266,-0.0031221753864597653,0.3355484647364744,0.2572743629082691,0.002484318371728637,0.30157484616492347,-0.3266343985237917,0.0035172408962942676,-0.26270584913896733,0.0358121642612522,0.001689669744845294,0.06902627439179922,1
2019-01-25,1.6306341271621358,0.00042696511902298034,1.7052355316562275,0.7681109910635474,0.0029011018070678185,0.8215312452404571,0.7614363194348887,0.000303791512801202,0.7829368908129853,0.2817205863953691,0.003095630819006656,0.3275642520315699,0.7986521082609684,0.004485855505920025,0.8453710152638961,0.43649810586006316,0.0038057365890755354,0.49990712359132816,0.3976619645380377,-0.0017413995595904341,0.4669985406797095,0.3775166608764643,0.0027693175691681435,0.4218171441331186,-1.1335039138867686,0.002395123616119807,-1.0695753645019443,0.18735543691069848,0.0018641745667575538,0.22056954704124548,0
2019-01-28,-0.5508388529601198,-0.00014252908575757331,-0.4762374484660283,-1.0530499880101374,0.0015742848223899838,-0.9996297338332277,0.4696768827223655,0.0006345408106150592,0.4911774541004622,0.19949384051767471,0.003192285391208109,0.2453375061538755,-0.7812208106248417,0.003416186769945856,-0.734501903621914,-1.130757458788263,0.002434719134598212,-1.0673484410569978,-0.12403538900314319,-0.0017696674948405845,-0.05469881286147145,-1.2015622709608658,0.0014695835954311454,-1.1572617877042113,0.02778339869693237,0.002327050793377459,0.09171194808175676,-0.36259040469368975,0.0013608355704014335,-0.32937629456314277,0
2019-01-29,-0.6079834406473483,-0.0007104381821189665,-0.5333820361532567,-0.5149831694399102,0.0009826422753163896,-0.4615629152630005,0.8394818482161214,0.0011764320460932638,0.860982419594218,0.0987096382718646,0.003170052043713234,0.1445533039080654,-0.2931707102555979,0.002971046185652316,-0.2464518032526702,-1.1780476349709088,0.0011680347062742334,-1.1146386172396436,0.02036924776998889,-0.001468908411638745,0.08970582391166063,-0.4802554771282196,0.0009834730482008755,-0.4359549938715652,-0.3310857406356241,0.001997438821210661,-0.26715719125079973,0.15330860488749823,0.0014957863831666209,0.18652271501804524,1
2019-01-30,3.4419235373885506,0.002923506857600128,3.5165249418826425,1.2740862617278994,0.00230468858883337,1.3275065159048092,0.811538474109095,0.0016435366382830414,0.8330390454871917,0.07344652431916272,0.0031244767486074323,0.11929018995536352,1.2396598981869513,0.004077362526866278,1.286378805189879,1.7655704209659382,0.0028653668971728775,1.8289794386972031,0.866665029282835,0.0006095553313030887,0.9360016054245067,1.1089557255515938,0.001945356951138195,1.153256208808248,-1.527148201472898,0.0008528438909307365,-1.4632196520880738,0.503607498900584,0.0019911483801619994,0.536821609031131,1
2019-01-31,0.2959924005249701,0.003137407858552238,0.37059380501906164,1.238909436206318,0.00345994781575617,1.2923296903832278,0.8850956246859423,0.0021083076685191717,0.906596196064039,-0.4970901412713368,0.002532455685044449,-0.4512464756351361,1.8218932089817195,0.005615981877212334,1.8686121159846474,-1.0666599171595244,0.0018055769650262344,-1.0032508994282592,-0.20885969003205676,0.00029569481033928644,-0.139523113890385,-1.171403753080978,0.0009069633210246175,-1.1271032698243235,0.7410435924684733,0.0013534588550150716,0.8049721418532977,0.6407881455401228,0.0025763426771982954,0.6740022556706697,1
2019-02-01,-0.04986103354405183,0.0030109010449274796,0.0247403709500397,-0.38182552996788327,0.0029877061779262346,-0.3284052757909736,0.6759992259785836,0.0024086743310870198,0.6974997973566802,0.14422402161960696,0.0025866819589891667,0.19006768725580775,0.6237402570192593,0.0059439880418333075,0.670459164022187,-0.9281643145925043,0.0009672174038325432,-0.8647552968612392,0.3468057379233204,0.0010865843654535975,0.4161423140649922,2.235446638341219,0.002676705855826266,2.2797471215978735,-1.586969402490499,0.0003100892014562011,-1.523040853105675,1.7397988202465435,0.004169174152831473,1.7730129303770905,1
