Date,AAPL_return,AAPL_volatility,AAPL_price_ma20,AAPL_momentum,GOOGL_return,GOOGL_volatility,GOOGL_price_ma20,GOOGL_momentum,JNJ_return,JNJ_volatility,JNJ_price_ma20,JNJ_momentum,JPM_return,JPM_volatility,JPM_price_ma20,JPM_momentum,MA_return,MA_volatility,MA_price_ma20,MA_momentum,MSFT_return,MSFT_volatility,MSFT_price_ma20,MSFT_momentum,TSLA_return,TSLA_volatility,TSLA_price_ma20,TSLA_momentum,V_return,V_volatility,V_price_ma20,V_momentum,WMT_return,WMT_volatility,WMT_price_ma20,WMT_momentum,XOM_return,XOM_volatility,XOM_price_ma20,XOM_momentum,target
2019-01-31,0.0072015268766423,0.0322599740641238,36.53401737213135,0.0178107066767484,0.0254098731272893,0.0199845213777832,53.63956756591797,0.0077868659791819,0.0109389572430056,0.0114722921557797,104.85814056396484,0.0093504755317525,-0.0087159445226522,0.0111798792437169,83.33194618225097,0.0014892020792154,0.0348497495337873,0.0191433090853907,189.21397018432617,0.0112624358624698,-0.0183304317457599,0.0202560528975182,97.14225959777832,-0.003129285169518,-0.0056676550879729,0.0400670069078656,21.260866737365724,0.0105493054007364,-0.0188225156511333,0.0163496217227215,129.5759365081787,-0.0038251018310874,0.0108651431726174,0.0087242800606674,28.689074993133545,-0.0051378872688225,0.0136950343208879,0.0114486738986203,51.10465621948242,0.0052363614742573,1
2019-02-01,0.0004807647724323,0.0214269461233201,36.8226526260376,0.0112794960078218,-0.0064571265786724,0.0187691848308458,53.870395469665525,0.0032648401646731,0.0084160075824439,0.0107285852096271,105.20262145996094,0.0091442993496016,0.0036712074378835,0.0104623106988636,83.60846977233886,0.0009580456069331,0.0125041113342527,0.0149925589142074,190.7907974243164,0.0106100121567558,-0.0157999738200412,0.0186298042078954,97.39283332824706,-0.008116043988945,0.0169043754677398,0.0395045657646752,21.30036668777466,0.0101361329255945,0.0380715565518592,0.0159285817223911,130.14595718383788,0.0023803483731322,-0.0205573038697212,0.0099264432381937,28.70402774810791,-0.0063620209254673,0.036025803665495,0.0128876801741889,51.36477394104004,0.011545172828268,1
2019-02-04,0.0284048838140456,0.020429663879114,37.0953914642334,0.0188113600430802,0.0203823587069165,0.0157439281968463,54.02737846374512,0.0112722692925475,-0.0098363629073582,0.0106215643664477,105.40776405334472,0.0059917208530026,0.0035621202081836,0.0069059873434808,83.75388107299804,0.0007227179392836,0.0053327578172959,0.0118819332517061,192.0117790222168,0.0144162663213431,0.0287990253696823,0.0167740767269471,97.57028198242188,0.0015440731123992,0.0021780467041099,0.0373283109237172,21.28436670303345,0.011016133158185,0.0096323197611956,0.013199058016245,130.51822509765626,0.0081720443222435,0.0096953811155711,0.0100591019748126,28.723915100097656,-0.004670521828253,-0.0144887051470662,0.0112459115019493,51.49554634094238,0.009985949473114,1
2019-02-05,0.0171094413716694,0.0204062843892021,37.40680446624756,0.0243062268814667,0.0091552373991912,0.0157560535791176,54.21558437347412,0.0149183729773727,0.0,0.0104497815638098,105.64621810913086,0.003914004243158,-0.0044122767937729,0.007040615318167,83.87764320373535,-0.000718154446731,0.0044204413522606,0.0118856568017407,193.20844268798828,0.0162196233412628,0.0139968939168018,0.0169862310886807,97.8106086730957,0.0084165720108062,0.0270382171370968,0.0356960027874356,21.238999938964845,0.0156949773850459,0.0072792187474417,0.0127637717776999,130.82505111694337,0.0110839693226746,0.0087579505312243,0.0099067694263052,28.739764976501466,-0.0021977387808832,0.0102911854533902,0.011365382445674,51.64057102203369,0.0112861965237571,0
2019-02-06,0.0003444816340614,0.0203202921963943,37.68547458648682,0.0107082196937702,-0.0251590835525767,0.0169440776927354,54.3085599899292,0.0046662518204295,0.0009034385078792,0.0092180450458663,105.76971206665038,0.0020844080851941,-0.0004817677366607,0.0070119555883399,84.00712432861329,-0.0012753322814037,-0.002594542419109,0.0120438626430118,194.31165084838867,0.0109025035236975,-0.0110985900688512,0.0172161134386227,97.96104469299316,-0.0004866152696336,-0.0128519454600943,0.0357799284166469,21.178566646575927,0.0055202077521758,-0.0072969359438377,0.0129210278224427,131.04746170043944,0.0057727286931051,0.0004183677519922,0.0097924684481171,28.746344089508057,0.0018359077403367,-0.0043655304659825,0.0114238848216883,51.75530834197998,0.0082315575653448,0
2019-02-07,-0.0189395963109603,0.0210100425270814,37.89462509155273,0.0054799950562496,-0.0151216869299996,0.0173326154542209,54.36867694854736,-0.0034400601910282,-0.007142965068686,0.0091788564037164,105.89645576477052,-0.0015319763771442,-0.0131100565049061,0.0077210607802198,84.08799667358399,-0.0021541546778545,-0.0061771432243195,0.0119524307473416,195.18386688232425,0.0026971249720761,-0.0071679390975841,0.017056933489649,98.00761947631835,0.0017458832600014,-0.0306096615845227,0.0362156237233741,21.075166702270508,0.0005318064528659,-0.0093290393781974,0.0129225732098209,131.13092498779298,0.0076714239476922,0.0113968372861255,0.010058790909788,28.773857021331786,0.0019422465630383,-0.0077066753514198,0.0116102540205697,51.83583850860596,0.0039512156308833,0
2019-02-08,0.0011752097060375,0.0210273798384852,38.10034599304199,0.0056188840429707,-0.0031920283853401,0.0173399609603887,54.42703437805176,-0.0027870405523617,0.0026503344225812,0.009116290968061,106.00573043823242,-0.0026851110091167,-0.0099626354419617,0.0081009771358782,84.12761650085449,-0.0048809232538235,0.0121980481248074,0.0120723799382747,196.12461547851564,0.002635912330187,0.0037998815663768,0.0169879079929071,98.10403022766111,0.0056658543372851,-0.0055608101557702,0.0358031571183296,20.944600105285645,-0.0039612306718361,0.0014978233355824,0.0129210439193117,131.2120162963867,0.0003566773044369,-0.0118884688149318,0.0104647428341612,28.783127784729004,0.0036760135739962,0.0016245525402438,0.0115025715679066,51.93387489318848,-0.0029290345941669,1
2019-02-11,-0.0057509695020216,0.0208900416762447,38.31230430603027,-0.0012122866202427,-0.000235719342329,0.0170064527419491,54.52033233642578,-0.0069106561622108,-0.0030207951221297,0.0091611452621082,106.09713172912598,-0.001321997452071,-0.0047356286211605,0.0080994098005844,84.167236328125,-0.0065404730196924,0.0024009775030378,0.0118516047200809,197.14060821533204,0.0020495562673354,-0.0039746983476784,0.016905660875236,98.21813735961912,-0.000888890406187,0.0230215975416532,0.0362764704829853,20.829866790771483,0.0002074794956725,0.0029919686608272,0.0128733928738086,131.34195404052736,-0.0009713929156367,0.0064865563170923,0.0105439592550669,28.80346355438233,0.0030342486143005,0.0016223470125191,0.0114007472250219,52.04799480438233,0.0002931758377501,1
2019-02-12,0.0086174388002822,0.0203119664566453,38.56882457733154,-0.0029106871345201,0.0231009136906659,0.0172991989506158,54.70883579254151,-0.0041215209039159,0.016363611399764,0.0093070887436698,106.33599548339843,0.0019507248278817,0.0170499861548942,0.0086499870777587,84.2350399017334,-0.0022480204299589,0.0083370957349286,0.0117310305226985,198.26586151123047,0.002832887143869,0.0155818590778382,0.0170657057622976,98.44355926513671,-0.0005718973739797,-0.0032924991616025,0.0354614141435351,20.754566764831544,-0.0058586637640673,0.0084518613313833,0.012829416169973,131.5738510131836,-0.0007368643988484,0.0080040283015365,0.0106677804880472,28.833667945861816,0.0028834641683629,0.0175437794306869,0.0118623467014233,52.21215801239013,0.0017436946332095,1
2019-02-13,-0.0041548063749311,0.0201952542883662,38.78046493530273,-0.0038105447363186,0.0009311569794416,0.0158315958361631,54.81321029663086,0.0010965272024877,0.0021613116259568,0.0091944943386349,106.5427635192871,0.0022022994514972,0.0047757932294352,0.0085677223210898,84.29263191223144,-0.0011965082367397,0.0074460302976906,0.0117369912784076,199.4169960021973,0.004841001687229,-0.0007483203785892,0.01588568416504,98.52739486694335,0.0014981565640726,-0.0116737558366715,0.0346444633577098,20.63370008468628,-0.0056230258393827,0.0105640652956133,0.0129770119806264,131.8654998779297,0.0028353358490418,0.0100031524584276,0.0104688207948,28.858938121795653,0.00480042110965,0.0112730778768901,0.0119787259609181,52.4055196762085,0.004871416301784,0
